label,sms
0,Go jurong point crazy Available in bugis n great world la e buffet Cine got amore wat
0,Ok lar Joking wif u oni
1,Free entry wkly comp win FA Cup final tkts 21st May 2005 Text FA 87121 receive entry question std txt rate T C 's apply 08452810075over18 's
0,U dun so early hor U c then
0,Nah I n't to usf he life here
1,FreeMsg Hey darling 's week 's and word back I 'd some fun up it Tb XxX std chgs send £1.50 rcv
0,Even brother not to speak They treat me like aid patent
0,As request 'Melle Melle Oru Minnaminunginte Nurungu Vettam been set your callertune all Callers Press copy your friend Callertune
1,WINNER As valued network customer have selected receivea £900 prize reward To claim call 09061701461 Claim code KL341 Valid 12 hour
1,Had mobile 11 month more U R entitled Update the latest colour mobile camera Free Call The Mobile Update Co FREE 08002986030
0,I 'm gon na home and do n't to talk this stuff anymore tonight k I 've cried today
1,"SIX chance win CASH From 100 20,000 pound txt CSH11 send 87575 Cost 150p/day 6days 16 TsandCs apply Reply HL info"
1,"URGENT You won week FREE membership our £100,000 Prize Jackpot Txt word CLAIM No 81010 T C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
0,I 've searching the word thank for breather I promise wont your for granted will fulfil promise You been wonderful a blessing all time
0,I HAVE A DATE ON SUNDAY WITH WILL
1,XXXMobileMovieClub To your credit click WAP link the txt message click http wap xxxmobilemovieclub.com n=QJKGIGHJJGCBL
0,Oh k 'm watching
0,Eh u remember spell name Yes did He v naughty make i v wet
0,Fine thats way u feel Thats way gota b
1,England v Macedonia dont miss goals/team news Txt ur national team 87077 ENGLAND 87077 Try WALES SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16
0,Is seriously you spell name
0,I ‘ m to for month ha ha joking
0,So ü pay lar Then is da stock comin
0,Aft finish lunch i str lor Ard smth lor U finish ur lunch
0,Ffffffffff Alright way I meet with sooner
0,Just forced to eat slice I 'm not hungry tho This suck Mark getting worried He I 'm sick I turn pizza Lol
0,Lol always convincing
0,Did catch bus Are frying egg Did make tea Are eating mom 's left dinner Do feel Love
0,I 'm back amp 're packing car I 'll you if 's room
0,Ahhh Work I vaguely remember What it feel Lol
0,Wait 's clear you not sure me sarcastic that that 's x n't to live u
0,Yeah at wa v apologetic n fallen wa actin spoilt child and he got caught in Till But wo n't there Not too badly cheer You
0,K me about
0,For fear fainting the all housework just Quick a cuppa
1,Thanks subscription Ringtone UK your mobile be charged £5/month Please confirm replying YES NO If reply NO will be charged
0,Yup Ok go home at timing i msg ü Xuhui to learn 2nd too her lesson at 8am
0,Oops I 'll you when roommate 's
0,I the letter B my car
0,Anything lor U decide
0,Hello How 's and did saturday I just texting see you 'd decided do tomo Not i 'm to invite or
0,Pls ahead watt I wanted be Do a great weekend Abiola
0,Did I forget tell I I I crave you But of I love you my sweet Arabian steed Mmmmmm Yummy
1,07732584351 Rodger Burns MSG We call re reply to our sm a free nokia mobile free camcorder Please call 08000930705 delivery tomorrow
0,WHO ARE YOU SEEING
0,Great I hope like man endowed I lt gt inch
0,No calls..messages..missed call
0,Did n't get hep b immunisation nigeria
0,Fair anything on
0,Yeah if tyler ca n't it I maybe around bit
0,U n't how stubborn I I n't want go the hospital I telling Mark I 'm a weak sucker Hospitals for weak sucker
0,What thinked First time saw me in class
0,A gram run lt gt half eighth smarter and you a second gram lt gt
0,K fyi x a ride early tomorrow morning he 's crashing our place tonight
0,Wow I realized so embarassed your accomodations I thought liked since the i you always so happy the cave I 'm I n't and do n't more give I 'm i offered I 'm your room wa so embarassing
1,SMS ac Sptv The New Jersey Devils the Detroit Red Wings play Ice Hockey Correct Incorrect End Reply END SPTV
0,Do know Mallika Sherawat yesterday Find now lt URL gt
1,Congrats year special cinema pas yours call 09061209465 C Suprman V Matrix3 StarWars3 all FREE bx420-ip4-5we 150pm Dont miss
0,Sorry I 'll call in meeting
0,Tell you reached
0,Yes..gauti sehwag of odi series
0,Your gon na to pick a burger yourself your home I ca n't move Pain killing
0,Ha ha ha good joke Girls situation seeker
0,Its part checking IQ
0,Sorry roommate forever ok I by
0,Ok lar double check wif da hair dresser he wun cut v short He will cut i nice
1,As valued customer I pleased advise that recent review your Mob No are awarded a £1500 Bonus Prize call 09066364589
0,Today song dedicated day Which song u dedicate Send to ur valuable frnds first rply me
1,Urgent UR awarded complimentary trip EuroDisinc Trav Aco Entry41 Or £1000 To claim txt DIS 87121 18+6*£1.50 moreFrmMob ShrAcomOrSglSuplt 10 LS1 3AJ
1,Did hear the Divorce Barbie It with of Ken 's stuff
0,I plane give this month end
0,Wah lucky man Then save money Hee
0,Finished class are
0,HI BABE IM AT HOME NOW WAN NA DO SOMETHING XX
0,K..k are how you performed
0,U call now
0,I waiting machan Call once free
0,Thats cool am gentleman will treat with dignity respect
0,I you people much am shy pa
0,Does operate lt gt what
0,Its the here Still for job How do Ta 's earn
0,Sorry I 'll call
0,K Did call just ah
0,Ok am the to home hi
0,You be the place that man
0,Yup stop
0,I call later n't network If urgnt sm
0,For real u on yo I need ticket one jacket I 'm I used my multis
0,Yes I started send request make but pain back I 'm back bed Double coin the factory I ta cash all nitros
0,I 'm not to still tonight babe
0,Ela kano il download wen ur free
0,Yeah Don ‘ stand close tho ‘ ll catch
0,Sorry be pain Is ok we meet night I spent late afternoon casualty that mean have n't any y stuff42moro that includes my time sheet that Sorry
0,Smile Pleasure Smile Pain Smile trouble pours Rain Smile sum1 Hurts U Smile becoz SOMEONE Loves see u Smiling
1,Please call customer service representative 0800 169 6031 10am-9pm you WON guaranteed £1000 cash £5000 prize
0,Havent planning buy I check lido got 530 show e afternoon U finish work
1,Your free ringtone waiting be collected Simply text password MIX 85069 verify Get Usher Britney FML PO Box 5249 MK17 92H 450Ppw 16
0,Watching telugu movie..wat abt u
0,see When finish have load loan pay
0,Hi Wk ok hols Yes bit a run Forgot i hairdresser appointment four need get home n shower Does cause prob for u
0,I a cup coffee animation
0,Please n't text anymore I nothing to
0,Okay ur price long it legal Wen I pick up Y u ave x am xx
0,I 'm looking a car buy And not 4the driving test
0,wow You 're I n't that I guess i gave boston men changed search location to nyc changed Cuz on my signin page still boston
0,Umma life vava umma love lot dear
0,Thanks lot your wish birthday Thanks for making my birthday memorable
0,Aight I 'll hit up I some cash
0,How ip address test considering my computer n't minecraft server
0,I Grumpy people My mom like better be lying Then I always one play joke
0,Dont worry I guess 's busy
0,What the plural the noun research
0,Going dinner.msg after
0,I 'm wif co new thing But scared u dun like mah Cos u not loud
1,GENT We trying contact Last weekend draw show you won £1000 prize GUARANTEED Call 09064012160 Claim Code K52 Valid 12hrs 150ppm
0,Wa ur openin sentence formal Anyway 'm fine juz tt 'm eatin much n puttin weight Haha So anythin special happened
0,As I entered cabin PA Happy B'day Boss I felt special She askd lunch After lunch invited to apartment We there
1,You a winner U been specially selected receive £1000 a holiday flight speak a live operator claim 0871277810910p/min 18
0,Goodo Yes must speak friday egg-potato ratio tortilla needed
0,Hmm uncle informed that 's paying school directly So pls buy food
1,PRIVATE Your 2004 Account Statement 07742676969 show 786 unredeemed Bonus Points To claim call 08719180248 Identifier Code 45239 Expires
1,URGENT Your Mobile No awarded £2000 Bonus Caller Prize 5/9/03 This our final to contact U Call Landline 09064019788 BOX42WR29C 150PPM
0,is new address apple pair that malarky
1,Todays Voda number ending 7548 selected receive 350 award If have match call 08712300220 quoting claim code 4041 standard rate app
0,I going sao mu today Will done at 12
0,Ü predict wat time ü 'll finish buying
0,Good stuff do
0,Just know yetunde n't money I sent a text to bother sending So over dont to involve in I n't imposed on in first place for that i apologise
0,Are there room
0,HEY GIRL HOW R U HOPE U R WELL ME AN DEL R BAK AGAIN LONG TIME NO C GIVE ME A CALL SUM TIME FROM LUCYxx
0,K..k much it cost
0,I 'm home
0,Dear call Tmorrow.pls accomodate
0,First answer question
1,Sunshine Quiz Wkly Q Win top Sony DVD player u which country Algarve in Txt ansr 82277 £1.50 SP Tyrone
1,Want laid tonight Want real Dogging location direct ur mob Join UK 's largest Dogging Network bt Txting GRAVEL 69888 Nt ec2a 31p.msg 150p
0,I haf msn It 's yijue hotmail.com
0,He there You call meet
0,No I check room befor activity
1,You 'll rcv more msg the chat svc For FREE Hardcore service text GO 69988 If u nothing u Age Verify yr network again
0,Got c I lazy type I forgot ü lect I a pouch like v nice
